U.S. State,"% change in abortion rate, 2017-2020","% change in the no. of abortion clinics, 2017-2020","% change in the no. of abortion providers, 2014-2017","% of all U.S. abortions, by state of occurrence, 2020","% of counties without a known abortion provider, 2014","% of counties without a known clinic, 2020","% of residents obtaining abortions who traveled out of state for care, 2020","% of women aged 15-44 living in a county without a clinic, 2020","% of women aged 15-44 living in a county without an abortion provider, 2014","Abortion rate (the no. of abortions per 1,000 women aged 15-17), by state of residence, 2017","Abortion rate (the no. of abortions per 1,000 women aged 15-19), by state of residence, 2017","Abortion rate (the no. of abortions per 1,000 women aged 18-19), by state of residence, 2017","Change in the no. of abortion clinics, 2017-2020","Change in the no. of abortion providers, 2014-2017","No. of abortion clinics, 2020","No. of abortion providers, 2017","No. of abortions among women aged 15-17, by state of residence, 2017","No. of abortions among women aged 15-19, by state of residence, 2017","No. of abortions among women aged 18-19, by state of residence, 2017","No. of abortions among women younger than 15, by state of residence, 2017","No. of abortions per 1,000 women aged 15–44, by state of occurrence, 2020","No. of abortions per 1,000 women aged 15–44, by state of residence, 2020","No. of abortions, by state of occurrence, 2020","No. of abortions, by state of residence, 2020","No. of federally funded abortions, 2010","No. of state funded abortions, 2010","Reported public expenditures for abortions (in 000s of dollars), federal, 2015","Reported public expenditures for abortions (in 000s of dollars), state, 2015","Total no. of publicly funded abortions , 2010","Total reported public expenditures for abortions (in 000s of dollars), 2015"
Ohio,1,11,-18,2.3,93,93,10,55,56,2.5,5.3,9.5,1,-3,10,14,570,1990,1430,60.0,9.5,9.9,20990,21920,9,0,6,nr,9,6
Oklahoma,100,25,20,1.0,96,96,5,53,54,unavailable,3.8,unavailable,1,1,5,6,unavailable,490,unavailable,20.0,12.4,10.7,9690,8330,0,0,0,0,0,nr
Oregon,-13,6,7,0.9,75,75,5,22,21,unavailable,7.2,unavailable,1,2,17,29,unavailable,860,unavailable,20.0,10.3,9.7,8560,8110,0,3427,0,1152,3427,1152
Pennsylvania,4,-6,2,3.5,81,82,14,38,42,3.6,7.2,12.2,-1,1,17,43,830,2890,2060,90.0,13.6,14.7,32260,34950,0,7,76,0,7,76
Rhode Island,-20,-50,-40,0.3,80,80,17,36,36,unavailable,7.7,unavailable,-1,-2,1,3,unavailable,280,unavailable,10.0,13.3,13.6,2760,2830,0,0,0,0,0,0
South Carolina,0,-25,43,0.6,91,93,57,71,65,unavailable,6.9,unavailable,-1,3,3,10,unavailable,1090,unavailable,20.0,5.3,11.9,5300,11830,9,0,0,0,9,0
South Dakota,-74,0,0,0.0,98,98,84,76,77,1.9,3.3,5.2,0,0,1,2,30,90,60,,0.8,4.1,130,680,0,unavailable,0,nr,unavailable,nr
Tennessee,-12,-12,9,1.2,95,95,23,61,62,2.1,4.4,7.8,-1,1,7,12,270,900,630,20.0,8.1,7.8,10850,10450,0,0,0,0,0,0
Texas,1,14,-20,6.2,95,96,8,44,40,2.4,5.2,9.7,3,-9,24,35,1440,5080,3640,120.0,9.5,10.1,58020,61500,3,0,<1000,0,3,<1000
Utah,0,0,100,0.3,93,97,8,64,41,1.2,3.1,6.1,0,6,2,12,90,370,280,20.0,4.4,4.5,3120,3220,0,unavailable,0,0,unavailable,0
Vermont,-6,0,11,0.1,50,64,7,38,28,3.5,5.1,6.6,0,1,6,10,40,100,70,,10.7,9.5,1230,1100,0,699,0,478,699,478
Virginia,8,6,-6,2.0,88,92,25,79,53,2.8,5.9,10.4,-1,-2,17,32,440,1580,1140,50.0,11.0,13.8,18740,23390,2,unavailable,4,97,2,100
Washington,-3,-8,2,1.9,94,56,5,9,15,unavailable,8.1,unavailable,-3,1,37,51,unavailable,1760,unavailable,30.0,11.7,11.6,17980,17910,0,14236,0,5617,14236,5617
West Virginia,-30,0,-40,0.1,95,98,52,90,76,unavailable,4.1,unavailable,0,-2,1,3,unavailable,220,unavailable,,3.1,5.7,990,1780,0,1111,0,375,1111,375
Wisconsin,8,33,-14,0.7,94,96,17,68,65,2.1,3.9,6.5,1,-1,4,6,230,720,500,20.0,6.4,7.6,6960,8290,0,unavailable,0,nr,unavailable,nr
Wyoming,-31,0,-33,0.0,96,96,88,96,96,2.2,4.6,8.4,0,-1,2,2,20,80,60,,0.9,6.4,100,700,0,0,0,0,0,0
